pokemon_names,pokemon_cute,multiple_pokes_in_pic,photo_contrast_level,pokes_size_in_frame,looks_fluffy,original_image_source
Aerodactyl,False,False,High,Small,True,Twitter
Jumpluff,False,False,Low,Small,False,Twitter
Binacle,False,False,High,Large,False,Pixiv
Kricketot,False,False,Low,Small,False,Twitter
Exeggutor,False,False,Low,Large,False,Twitter
Hakamo-o,False,False,Low,Large,True,Pixiv
Lotad,False,True,High,Large,True,Pixiv
Miltank,False,False,High,Small,False,Pixiv
Xatu,False,False,High,Small,True,Twitter
Golduck,False,False,Low,Large,False,Pixiv
Grumpig,False,False,High,Large,False,Pixiv
Mantyke,False,False,High,Large,False,Twitter
Spritzee,False,True,Low,Large,True,Twitter
Vulpix,True,False,High,Large,True,Pixiv
Yanma,False,False,Low,Large,True,Pixiv
Tapu Fini,False,False,Low,Small,False,Pixiv
Bulbasaur,True,False,High,Large,True,Twitter
Marill,False,False,High,Large,False,Pixiv
Golduck,False,False,High,Small,False,Twitter
Bunnelby,False,False,High,Small,False,Pixiv
Drowzee,False,False,Low,Large,False,Pixiv
Pikachu,True,True,High,Large,True,Twitter
Mimikyu,False,False,Low,Small,True,Twitter
Pupitar,False,False,Low,Large,True,Pixiv
Venomoth,False,False,High,Large,True,Twitter
Togepi,False,False,Low,Large,False,Twitter
Goldeen,False,True,High,Large,False,Pixiv
Azumarill,False,True,Low,Small,False,Pixiv
Swoobat,False,False,Low,Small,True,Twitter
Fearow,False,True,Low,Small,False,Twitter
Vulpix,True,True,Low,Large,False,Pixiv
Basculin,False,False,Low,Large,False,Twitter
Kangaskhan,False,False,Low,Large,False,Pixiv
Zygarde,False,False,High,Small,True,Twitter
Cherubi,False,False,Low,Small,False,Pixiv
Fearow,False,False,High,Large,True,Pixiv
Honedge,False,False,Low,Large,False,Twitter
Swellow,False,False,Low,Large,True,Twitter
Drapion,False,False,Low,Large,False,Pixiv
Hoothoot,False,False,High,Small,True,Twitter
Salazzle,False,True,Low,Large,True,Pixiv
Mismagius,False,True,Low,Small,False,Twitter
Electrode,False,True,Low,Small,True,Pixiv
Spheal,False,True,High,Small,False,Pixiv
Paras,False,True,Low,Large,True,Pixiv
Manaphy,False,False,High,Large,True,Twitter
Weavile,False,False,High,Small,False,Pixiv
Talonflame,False,False,High,Small,True,Pixiv
Nidoqueen,False,False,Low,Small,True,Pixiv
Buneary,False,True,High,Small,False,Twitter
Ledian,False,False,Low,Large,True,Twitter
Vulpix,True,False,High,Small,False,Pixiv
Mawile,False,False,Low,Small,True,Pixiv
Pansage,False,False,High,Large,True,Pixiv
Purrloin,False,False,High,Small,True,Pixiv
Goomy,False,False,Low,Large,True,Pixiv
Gurdurr,False,False,High,Small,True,Twitter
Torterra,False,False,Low,Small,False,Pixiv
Snorunt,False,False,Low,Large,False,Twitter
Grumpig,False,True,High,Small,False,Pixiv
Pikachu,True,False,High,Large,True,Pixiv
Stoutland,False,False,Low,Large,False,Pixiv
Liepard,False,False,High,Large,True,Pixiv
Torterra,False,False,Low,Large,False,Pixiv
Servine,False,False,Low,Large,False,Twitter
Spinda,False,False,Low,Small,True,Pixiv
Samurott,False,False,Low,Large,False,Twitter
Parasect,False,False,High,Small,False,Pixiv
Magikarp,False,True,Low,Large,False,Twitter
Vanilluxe,False,False,High,Large,False,Pixiv
Budew,False,False,Low,Large,True,Twitter
Hippopotas,False,False,Low,Large,False,Pixiv
Malamar,False,False,High,Large,False,Pixiv
Grotle,False,False,High,Small,True,Twitter
Clefable,False,False,High,Large,False,Twitter
Finneon,True,False,High,Large,False,Pixiv
Sawsbuck,False,False,High,Small,False,Pixiv
Cacnea,False,False,Low,Small,False,Twitter
Kricketot,False,True,Low,Large,True,Pixiv
Wigglytuff,False,False,Low,Small,True,Twitter
Drifblim,False,False,High,Large,False,Pixiv
Psyduck,False,False,Low,Small,True,Twitter
Mesprit,False,True,Low,Small,False,Twitter
Sawsbuck,False,False,High,Small,False,Twitter
Jirachi,False,False,High,Large,False,Pixiv
Bewear,False,False,High,Large,False,Pixiv
Piplup,False,False,High,Large,False,Twitter
Pumpkaboo,False,True,High,Small,True,Pixiv
Abra,False,False,High,Small,True,Pixiv
Huntail,False,False,High,Large,False,Twitter
Chesnaught,True,True,High,Small,False,Twitter
Wigglytuff,False,False,Low,Large,False,Twitter
Salazzle,False,False,Low,Large,True,Twitter
Mr. Mime,False,True,Low,Large,False,Pixiv
Exploud,False,True,Low,Small,True,Pixiv
Baltoy,False,False,Low,Large,True,Pixiv
Nidorino,False,False,Low,Large,False,Twitter
Lopunny,False,False,Low,Large,False,Pixiv
Gigalith,False,False,High,Large,False,Twitter
Charmander,False,False,High,Small,True,Twitter
Combee,False,False,High,Small,True,Pixiv
Rampardos,False,False,Low,Large,True,Pixiv
Genesect,False,False,High,Small,True,Pixiv
Clefable,False,False,High,Small,False,Pixiv
Carbink,False,False,Low,Large,False,Twitter
Raikou,False,False,High,Large,True,Pixiv
Accelgor,False,False,High,Large,True,Twitter
Shroomish,False,False,High,Large,False,Pixiv
Lampent,False,False,Low,Small,True,Pixiv
Muk,False,False,Low,Small,False,Twitter
Bergmite,False,True,High,Small,True,Pixiv
Numel,False,True,Low,Large,True,Twitter
Vulpix,True,False,Low,Small,True,Twitter
Squirtle,True,True,Low,Large,False,Pixiv
Primeape,False,False,High,Small,True,Pixiv
Noivern,False,False,Low,Large,True,Twitter
Emolga,True,False,High,Small,True,Pixiv
Piplup,False,False,High,Large,False,Twitter
Togetic,False,True,Low,Small,True,Pixiv
Crabominable,False,False,Low,Large,False,Pixiv
Terrakion,False,True,High,Small,False,Twitter
Inkay,False,True,Low,Large,True,Pixiv
Gorebyss,False,False,High,Large,True,Pixiv
Goodra,False,True,High,Small,True,Twitter
Drilbur,False,False,Low,Large,False,Twitter
Poliwag,False,False,Low,Small,False,Pixiv
Chimecho,False,True,High,Large,False,Pixiv
Gyarados,False,False,Low,Large,False,Pixiv
Shiinotic,False,True,Low,Large,True,Twitter
Cosmoem,False,True,High,Small,True,Pixiv
Dustox,False,False,Low,Large,False,Pixiv
Rhyperior,False,True,High,Small,True,Twitter
Necrozma,False,False,Low,Large,False,Twitter
Togekiss,False,False,High,Large,True,Pixiv
Wynaut,False,False,Low,Large,False,Pixiv
Hoppip,False,False,Low,Small,True,Pixiv
Thundurus,False,False,Low,Small,False,Pixiv
Shieldon,True,True,High,Small,True,Pixiv
Voltorb,False,False,Low,Large,True,Pixiv
Glaceon,False,False,Low,Small,False,Pixiv
Tirtouga,False,False,Low,Small,False,Pixiv
Phanpy,False,False,Low,Small,False,Twitter
Flygon,False,True,Low,Large,False,Twitter
Poochyena,False,False,Low,Small,True,Twitter
Electrike,False,False,Low,Small,True,Pixiv
Pidgeot,False,False,Low,Small,False,Pixiv
Wingull,False,False,Low,Large,False,Pixiv
Ivysaur,False,False,Low,Small,False,Twitter
Hitmontop,False,False,Low,Small,True,Pixiv
Froakie,False,False,High,Large,True,Pixiv
Yungoos,False,False,Low,Small,False,Twitter
Sandshrew,False,False,Low,Small,False,Pixiv
Kommo-o,False,False,High,Large,False,Pixiv
Azurill,False,True,Low,Large,True,Pixiv
Numel,False,True,High,Small,False,Twitter
Cacnea,False,False,High,Small,True,Twitter
Lampent,False,False,Low,Large,False,Pixiv
Machop,False,True,High,Large,False,Twitter
Kartana,False,True,Low,Small,False,Pixiv
Fomantis,False,False,Low,Small,True,Pixiv
Hippopotas,False,False,Low,Small,False,Twitter
Gabite,False,False,High,Large,True,Pixiv
Tentacruel,True,False,High,Large,True,Pixiv
Pikipek,False,False,Low,Small,False,Pixiv
Dodrio,False,False,High,Small,True,Pixiv
Delphox,False,False,Low,Large,False,Pixiv
Fletchinder,False,False,Low,Small,False,Pixiv
Vulpix,True,False,High,Large,True,Twitter
Sandygast,False,False,High,Small,False,Twitter
Pancham,False,True,High,Small,True,Pixiv
Gastly,False,False,High,Small,False,Pixiv
Duskull,False,False,High,Small,False,Pixiv
Chesnaught,False,False,Low,Small,False,Pixiv
Wooper,False,True,Low,Small,False,Twitter
Unown,False,False,High,Large,True,Twitter
Vulpix,True,False,Low,Small,True,Pixiv
Grovyle,False,False,High,Small,False,Twitter
Pidgeot,False,False,High,Large,True,Twitter
Wailmer,False,False,High,Large,False,Pixiv
Hoothoot,False,False,High,Large,True,Pixiv
Meowstic,False,True,Low,Small,False,Pixiv
Eelektrik,False,False,High,Small,False,Pixiv
Kyogre,False,False,High,Small,True,Pixiv
Lapras,False,False,Low,Large,False,Twitter
Mienshao,False,True,High,Large,False,Pixiv
Staryu,False,False,Low,Large,True,Twitter
Aegislash,False,True,High,Small,False,Pixiv
Pawniard,False,False,High,Small,True,Pixiv
Beedrill,False,True,Low,Small,True,Pixiv
Poliwag,False,True,Low,Large,True,Twitter
Servine,False,False,High,Small,True,Twitter
Carnivine,False,False,High,Small,False,Twitter
Chandelure,False,False,Low,Large,False,Pixiv
Wishiwashi,False,True,High,Large,True,Twitter
Shuppet,False,False,Low,Large,False,Twitter
Vigoroth,False,True,Low,Small,True,Twitter
Rhyhorn,False,False,Low,Large,False,Pixiv
Conkeldurr,False,False,Low,Large,False,Pixiv
Marill,False,True,Low,Large,False,Pixiv
Phantump,False,False,Low,Large,False,Pixiv
Minun,False,False,Low,Large,True,Pixiv
Charmander,False,False,High,Large,False,Twitter
Litwick,False,True,Low,Large,True,Pixiv
Tangrowth,False,True,Low,Small,True,Twitter
Metapod,False,False,High,Large,True,Twitter
Lileep,False,False,Low,Large,True,Pixiv
Stoutland,False,False,Low,Large,True,Pixiv
Skuntank,False,False,Low,Large,False,Pixiv
Gengar,False,False,Low,Large,True,Twitter
Tepig,False,False,Low,Small,True,Twitter
Tyrunt,False,False,Low,Large,False,Twitter
Meowth,False,False,High,Small,False,Pixiv
Spiritomb,False,False,Low,Small,False,Pixiv
Salandit,False,True,Low,Large,False,Twitter
Tsareena,False,False,High,Large,True,Twitter
Deino,False,False,High,Large,False,Pixiv
Araquanid,False,False,Low,Large,False,Twitter
Maractus,False,True,High,Large,True,Pixiv
Oricorio,False,False,High,Large,True,Pixiv
Steenee,False,True,Low,Large,True,Pixiv
Cherubi,False,True,Low,Small,True,Pixiv
Swalot,False,True,Low,Large,False,Pixiv
Arceus,False,False,Low,Small,False,Twitter
Pawniard,False,False,Low,Large,False,Twitter
Heliolisk,False,False,High,Small,False,Pixiv
Phantump,True,False,Low,Large,True,Twitter
Nidoran♀,False,True,High,Large,False,Pixiv
Qwilfish,False,False,High,Large,True,Pixiv
Crobat,False,False,High,Large,False,Pixiv
Tangela,False,False,Low,Small,True,Pixiv
Pidove,False,False,High,Small,False,Twitter
Poliwrath,False,False,High,Small,True,Pixiv
Doublade,False,False,High,Small,False,Pixiv
Petilil,False,True,Low,Large,False,Twitter
Staryu,False,False,Low,Small,True,Twitter
Politoed,False,False,High,Large,False,Twitter
Combusken,False,False,High,Small,False,Twitter
Bisharp,False,False,High,Large,True,Pixiv
Azurill,False,False,Low,Large,False,Pixiv
Scraggy,False,False,Low,Small,True,Pixiv
Klefki,False,False,Low,Large,False,Pixiv
Cottonee,False,False,Low,Large,False,Twitter
Gliscor,False,False,Low,Large,False,Twitter
Armaldo,False,False,Low,Small,False,Twitter
Zygarde,False,False,Low,Large,False,Pixiv
Salamence,False,False,Low,Small,True,Twitter
Crabominable,False,False,Low,Small,False,Pixiv
Shaymin,True,False,Low,Large,True,Pixiv
Herdier,False,False,High,Small,True,Pixiv
Steenee,False,False,High,Large,True,Pixiv
Buzzwole,False,False,High,Large,False,Twitter
Bagon,False,False,Low,Small,False,Pixiv
Volbeat,False,False,Low,Large,False,Pixiv
Sawk,True,False,Low,Large,False,Pixiv
Serperior,False,False,Low,Large,True,Pixiv
Lunala,False,False,Low,Large,False,Pixiv
Magcargo,False,False,Low,Small,True,Pixiv
Vulpix,True,False,Low,Small,False,Pixiv
Timburr,False,False,Low,Large,True,Pixiv
Larvesta,False,False,Low,Large,False,Twitter
Sliggoo,False,False,High,Small,False,Pixiv
Typhlosion,False,False,Low,Large,True,Pixiv
Weavile,False,False,Low,Small,True,Twitter
Amaura,False,True,Low,Large,True,Pixiv
Slowbro,False,False,Low,Large,True,Pixiv
Zapdos,False,True,High,Small,False,Pixiv
Ariados,False,False,High,Small,False,Twitter
Rufflet,False,True,Low,Small,True,Twitter
Koffing,False,False,High,Small,True,Pixiv
Aromatisse,False,False,Low,Small,False,Pixiv
Whiscash,False,False,Low,Small,True,Pixiv
Tympole,False,False,High,Large,False,Twitter
Honedge,False,False,Low,Small,False,Pixiv
Bronzong,False,False,High,Large,True,Twitter
Tornadus,False,True,Low,Small,True,Twitter
Togetic,False,True,Low,Small,False,Pixiv
Dialga,False,False,High,Large,False,Pixiv
Litten,False,False,Low,Large,False,Pixiv
Aegislash,False,True,High,Small,False,Twitter
Baltoy,False,False,Low,Large,True,Pixiv
Snorunt,False,False,High,Small,False,Twitter
Tynamo,False,False,High,Small,False,Pixiv
Wingull,False,False,Low,Small,True,Twitter
Lickitung,False,False,Low,Small,True,Twitter
Gorebyss,False,False,High,Small,False,Twitter
Cacturne,False,False,Low,Large,False,Twitter
Barbaracle,False,True,Low,Large,True,Pixiv
Taillow,False,False,Low,Small,False,Twitter
Sunflora,False,False,Low,Small,True,Twitter
Scizor,False,False,High,Small,True,Pixiv
Tangrowth,False,False,Low,Large,True,Pixiv
Hippopotas,False,False,High,Large,True,Pixiv
Happiny,False,False,Low,Large,False,Pixiv
Pikachu,True,False,Low,Large,True,Pixiv
Landorus,False,False,Low,Large,False,Pixiv
Lampent,False,False,Low,Small,False,Twitter
Diancie,False,False,Low,Small,False,Twitter
Mudkip,False,False,Low,Small,False,Pixiv
Floette,False,False,Low,Small,False,Pixiv
Accelgor,False,False,High,Large,False,Twitter
Goomy,False,False,High,Small,False,Pixiv
Porygon2,False,False,Low,Small,False,Twitter
Fletchling,False,True,Low,Small,True,Pixiv
Wimpod,False,False,Low,Large,False,Pixiv
Rufflet,False,False,Low,Large,False,Twitter
Arcanine,False,False,Low,Small,False,Twitter
Kadabra,False,False,Low,Large,True,Twitter
Yanmega,False,False,High,Small,False,Pixiv
Gothita,False,True,High,Small,True,Pixiv
Hitmonlee,False,True,Low,Large,True,Twitter
Manectric,False,True,Low,Large,False,Pixiv
Goldeen,False,False,Low,Large,False,Pixiv
Mr. Mime,False,False,High,Small,False,Pixiv
Seviper,False,False,High,Large,False,Twitter
Makuhita,False,False,High,Large,False,Pixiv
Palossand,True,True,Low,Large,True,Pixiv
Articuno,False,False,High,Small,False,Pixiv
Noivern,False,False,Low,Large,False,Pixiv
Mudkip,False,False,High,Large,False,Twitter
Tapu Bulu,False,False,Low,Small,False,Twitter
Lilligant,False,True,High,Small,True,Twitter
Drapion,False,False,Low,Large,True,Twitter
Sawsbuck,False,False,High,Large,False,Pixiv
Lunatone,False,False,Low,Large,True,Pixiv
Landorus,False,True,Low,Large,True,Pixiv
Numel,False,False,Low,Small,False,Pixiv
Gurdurr,False,False,Low,Small,True,Pixiv
Wailord,False,False,Low,Large,False,Pixiv
Magneton,False,False,High,Large,False,Twitter
Makuhita,False,False,High,Small,False,Pixiv
Jynx,False,True,Low,Large,True,Pixiv
Infernape,False,True,High,Large,True,Twitter
Oricorio,False,False,Low,Large,True,Twitter
Lumineon,False,True,High,Large,False,Twitter
Hoothoot,False,False,High,Large,False,Pixiv
Volcarona,False,False,High,Small,False,Pixiv
Krookodile,False,False,High,Small,True,Pixiv
Stufful,False,False,Low,Large,False,Pixiv
Persian,False,False,High,Small,False,Pixiv
Lurantis,False,False,Low,Small,False,Twitter
Dratini,False,False,Low,Small,True,Twitter
Throh,True,False,Low,Large,True,Pixiv
Bulbasaur,True,False,Low,Small,False,Pixiv
Kadabra,False,False,High,Large,False,Pixiv
Simisage,True,False,Low,Small,False,Twitter
Luxio,False,False,Low,Large,True,Pixiv
Bewear,False,False,High,Large,True,Twitter
Crawdaunt,False,False,Low,Large,True,Pixiv
Whiscash,False,True,Low,Small,False,Twitter
Misdreavus,False,False,Low,Large,False,Twitter
Hippowdon,False,False,High,Large,True,Pixiv
Loudred,False,False,Low,Large,False,Pixiv
Grotle,False,False,High,Large,True,Twitter
Bidoof,False,False,High,Large,True,Pixiv
Exeggutor,False,False,High,Small,True,Pixiv
Alomomola,False,False,Low,Large,False,Pixiv
Staryu,False,False,High,Small,True,Twitter
Liepard,False,False,Low,Large,False,Twitter
Exeggutor,False,True,High,Small,False,Twitter
Magearna,False,False,High,Small,False,Pixiv
Togetic,False,False,Low,Small,True,Pixiv
Gothorita,False,False,Low,Large,False,Twitter
Simisear,False,False,High,Large,False,Pixiv
Pichu,False,False,High,Small,False,Pixiv
Leavanny,False,False,Low,Large,True,Twitter
Celebi,False,False,High,Small,False,Pixiv
Clefable,False,False,High,Large,True,Twitter
Exeggcute,False,False,Low,Large,True,Pixiv
Amaura,False,False,High,Large,True,Twitter
Charmander,True,True,High,Small,True,Pixiv
Yungoos,False,True,High,Large,False,Twitter
Bouffalant,False,False,High,Small,False,Pixiv
Tynamo,False,True,High,Small,True,Twitter
Pyroar,False,False,Low,Small,True,Pixiv
Skrelp,False,True,High,Small,False,Pixiv
Bulbasaur,False,True,High,Large,True,Twitter
Golisopod,False,False,Low,Small,True,Twitter
Chinchou,False,False,Low,Large,False,Pixiv
Shellder,True,False,Low,Small,False,Pixiv
Kecleon,False,False,Low,Large,True,Twitter
Charmeleon,False,False,Low,Small,False,Twitter
Poliwag,False,False,High,Large,True,Twitter
Roselia,False,False,High,Small,False,Twitter
Shellder,False,False,Low,Large,False,Pixiv
Latios,False,True,Low,Small,False,Pixiv
Rampardos,False,False,High,Large,True,Pixiv
Escavalier,False,False,Low,Small,False,Pixiv
Walrein,False,False,Low,Small,False,Twitter
Archeops,True,True,Low,Small,True,Twitter
Golurk,False,True,Low,Small,False,Pixiv
Amoonguss,False,False,Low,Large,False,Twitter
Buneary,False,False,High,Large,True,Twitter
Politoed,False,False,Low,Large,True,Pixiv
Forretress,False,False,High,Small,False,Pixiv
Chimchar,False,False,Low,Small,False,Pixiv
Groudon,False,True,Low,Large,False,Twitter
Ralts,False,False,High,Large,False,Pixiv
Marshtomp,False,True,Low,Small,True,Pixiv
Skiploom,False,True,High,Large,False,Pixiv
Morelull,False,False,Low,Small,False,Twitter
Wurmple,False,False,Low,Small,False,Pixiv
Virizion,False,False,Low,Small,False,Twitter
Grotle,False,True,High,Small,False,Twitter
Brionne,False,False,Low,Small,True,Twitter
Snorunt,False,True,Low,Large,False,Twitter
Vulpix,True,True,Low,Small,True,Pixiv
Swirlix,False,False,High,Large,True,Pixiv
Squirtle,True,False,Low,Large,True,Twitter
Onix,False,False,Low,Large,True,Pixiv
Cleffa,False,False,Low,Large,False,Twitter
Gurdurr,False,False,High,Large,False,Pixiv
Rayquaza,False,True,Low,Small,False,Pixiv
Rhyhorn,False,False,Low,Large,True,Twitter
Porygon,False,False,High,Small,True,Pixiv
Unfezant,False,False,High,Small,True,Pixiv
Wishiwashi,False,False,High,Small,False,Pixiv
Torracat,False,True,Low,Large,False,Pixiv
Chikorita,False,True,High,Small,False,Twitter
Marill,False,False,Low,Large,True,Twitter
Barbaracle,False,False,Low,Large,False,Pixiv
Milotic,False,False,Low,Large,False,Pixiv
Aromatisse,False,False,Low,Large,False,Pixiv
Klang,False,False,High,Small,True,Pixiv
Porygon2,False,True,High,Small,False,Pixiv
Pignite,False,True,High,Small,False,Pixiv
Sunkern,False,True,Low,Large,True,Pixiv
Xurkitree,False,False,Low,Large,False,Pixiv
Malamar,False,False,Low,Large,True,Pixiv
Scatterbug,False,True,Low,Small,False,Twitter
Yungoos,False,False,High,Small,True,Pixiv
Swoobat,False,True,High,Large,True,Twitter
Poliwhirl,False,False,Low,Large,False,Pixiv
Rufflet,False,False,Low,Large,True,Twitter
Mismagius,False,False,Low,Large,False,Twitter
Salazzle,False,False,High,Small,False,Pixiv
Burmy,False,False,High,Small,True,Twitter
Malamar,False,False,Low,Small,False,Pixiv
Magneton,False,False,High,Small,False,Pixiv
Druddigon,False,False,Low,Small,False,Pixiv
Skiddo,False,False,High,Large,True,Pixiv
Machamp,False,False,Low,Large,False,Pixiv
Minior,False,True,High,Small,True,Twitter
Zweilous,False,False,High,Small,False,Pixiv
Spritzee,False,False,Low,Small,False,Twitter
Mamoswine,False,False,Low,Large,False,Twitter
Ribombee,False,True,Low,Small,True,Pixiv
Arbok,False,False,High,Small,True,Twitter
Mightyena,False,False,Low,Small,False,Twitter
Malamar,False,True,Low,Small,False,Twitter
Primeape,False,True,High,Small,False,Pixiv
Tynamo,False,False,Low,Large,True,Twitter
Garbodor,True,False,Low,Large,True,Twitter
Probopass,False,False,High,Large,True,Twitter
Armaldo,False,False,Low,Small,False,Pixiv
Pignite,False,True,High,Small,False,Twitter
Gogoat,False,False,High,Large,False,Twitter
Chikorita,False,False,Low,Small,False,Pixiv
Boldore,False,False,High,Large,True,Twitter
Muk,False,False,High,Large,True,Pixiv
Doublade,False,False,Low,Small,True,Twitter
Sylveon,False,False,Low,Small,False,Twitter
Gurdurr,False,False,Low,Large,False,Twitter
Magearna,False,False,Low,Large,False,Twitter
Squirtle,True,False,High,Small,False,Twitter
Comfey,False,False,Low,Small,False,Pixiv
Rockruff,False,False,Low,Small,False,Pixiv
Silvally,False,False,Low,Large,True,Twitter
Sneasel,False,False,Low,Small,False,Twitter
Masquerain,False,False,Low,Large,True,Pixiv
Persian,False,False,Low,Small,True,Twitter
Claydol,False,False,Low,Large,False,Twitter
Keldeo,False,True,Low,Small,True,Twitter
Tapu Lele,False,False,Low,Small,False,Twitter
Simisear,True,True,High,Small,True,Pixiv
Piloswine,False,True,High,Small,True,Pixiv
Flareon,False,True,Low,Large,False,Pixiv
Kartana,False,False,High,Small,False,Pixiv
Wigglytuff,False,False,Low,Small,True,Pixiv
Spearow,True,False,High,Small,True,Twitter
Silvally,False,False,High,Small,False,Twitter
Necrozma,False,False,Low,Large,False,Twitter
Dewpider,False,False,High,Large,True,Pixiv
Larvitar,False,False,High,Small,False,Pixiv
Vulpix,True,True,High,Small,True,Pixiv
Vulpix,True,False,High,Large,True,Pixiv
Sigilyph,False,True,Low,Large,False,Twitter
Shuppet,True,False,High,Large,True,Pixiv
Omastar,False,False,Low,Large,True,Pixiv
Timburr,False,False,Low,Large,True,Pixiv
Wigglytuff,False,False,Low,Small,False,Pixiv
Carnivine,False,False,High,Small,False,Twitter
Bergmite,False,True,Low,Large,True,Pixiv
Charmander,True,False,Low,Large,True,Pixiv
Vaporeon,False,False,Low,Small,False,Twitter
Litwick,False,False,Low,Small,True,Pixiv
Abra,False,False,High,Small,True,Pixiv
Snivy,False,False,High,Large,False,Pixiv
Vanillish,False,False,Low,Small,False,Twitter
Pidgeot,False,True,High,Small,False,Pixiv
Swanna,False,True,Low,Small,False,Pixiv
Xerneas,False,False,High,Large,True,Pixiv
Bastiodon,False,False,Low,Large,False,Pixiv
Noivern,False,False,Low,Small,False,Pixiv
Klink,False,True,High,Large,True,Twitter
Pyroar,False,True,Low,Large,False,Twitter
Giratina,False,False,High,Small,True,Pixiv
Dustox,False,False,Low,Large,False,Pixiv
Aromatisse,False,False,Low,Large,True,Twitter
Charmeleon,False,True,Low,Large,False,Twitter
Silcoon,False,False,High,Large,True,Pixiv
Ralts,False,True,High,Large,True,Pixiv
Mamoswine,False,False,Low,Large,False,Pixiv
Chespin,False,False,High,Small,False,Pixiv
Budew,True,False,High,Large,True,Pixiv
Beautifly,False,False,High,Small,False,Pixiv
Raticate,False,False,Low,Large,False,Pixiv
Whimsicott,False,False,Low,Large,True,Twitter
Charjabug,False,False,Low,Large,False,Twitter
Xatu,False,True,High,Small,True,Twitter
Gothita,False,False,Low,Small,False,Twitter
Linoone,False,False,High,Large,False,Twitter
Bulbasaur,True,False,High,Small,True,Pixiv
Lugia,False,False,High,Small,False,Pixiv
Cacnea,False,False,Low,Large,False,Pixiv
Pikachu,True,False,Low,Large,True,Pixiv
Vulpix,True,False,Low,Small,True,Pixiv
Eelektrik,False,False,High,Large,True,Pixiv
Zekrom,True,False,High,Large,False,Twitter
Thundurus,False,False,Low,Large,False,Twitter
Gothorita,False,False,Low,Small,False,Pixiv
Eelektross,False,False,High,Large,True,Pixiv
Avalugg,True,True,High,Large,True,Twitter
Taillow,False,True,Low,Large,True,Pixiv
Banette,False,False,High,Small,True,Pixiv
Gengar,False,False,Low,Small,False,Pixiv
Aurorus,False,False,High,Large,True,Pixiv
Roserade,False,False,High,Large,False,Pixiv
Rhyperior,False,True,High,Large,True,Twitter
Fennekin,False,False,Low,Large,True,Pixiv
Rhyhorn,False,False,Low,Small,False,Twitter
Swadloon,False,False,High,Large,True,Twitter
Tsareena,False,False,High,Large,False,Pixiv
Aurorus,False,False,Low,Large,False,Twitter
Emolga,True,False,Low,Small,False,Twitter
Ducklett,False,False,Low,Large,False,Twitter
Pyukumuku,False,False,Low,Small,False,Pixiv
Doublade,False,True,Low,Large,True,Pixiv
Mothim,False,True,High,Large,False,Pixiv
Roselia,False,False,Low,Large,True,Pixiv
Azumarill,False,False,Low,Large,False,Twitter
Mantine,False,False,Low,Small,False,Twitter
Fearow,False,False,Low,Large,False,Pixiv
Plusle,False,True,Low,Large,False,Twitter
Drowzee,False,False,High,Large,False,Pixiv
Blastoise,False,False,Low,Large,True,Pixiv
Buizel,False,False,Low,Large,False,Twitter
Mudkip,False,False,High,Small,False,Twitter
Audino,True,False,High,Large,False,Twitter
Floette,False,False,Low,Small,False,Pixiv
Serperior,False,False,Low,Large,True,Pixiv
