pokemon_names,raw_rankings,poke_tiers,famous_artist,photo_brightness_level,photo_depth_of_field ,is_pokemon_larger_than_a_burrito,cute_classification_conv_net_feature_14,cute_classification_conv_net_feature_26,photo_night_or_day
Scyther ,3.5844637916078126,S,false,high,high,true,zero,zero,night
Gastly ,2.6867949904215536,A,false,high,low,true,zero,non-zero,night
Caterpie ,1.4704999266408494,C,false,high,low,true,zero,non-zero,night
Pinsir ,1.8604819677522435,B,false,low,low,true,non-zero,zero,night
Primeape ,3.5601693612205825,S,true,high,high,true,non-zero,zero,day
Voltorb ,3.7145515173912163,S,true,high,high,true,zero,zero,day
Cubone ,4.5,S,true,low,high,true,non-zero,non-zero,day
Ivysaur ,2.2994106957966878,B,false,high,low,true,zero,non-zero,night
Exeggcute ,1.8119445856299097,B,false,low,low,true,non-zero,non-zero,night
Graveler ,2.540776666905575,A,true,low,low,true,zero,non-zero,night
Golbat ,3.0618815998488267,A,false,high,low,true,non-zero,zero,day
Rhydon ,3.630147664039215,S,false,low,high,true,non-zero,non-zero,night
Ekans ,1.6748065841440347,B,true,low,low,true,non-zero,non-zero,night
Jynx ,1.8888661981090422,B,true,high,low,true,zero,non-zero,day
Golem ,4.06309249496954,S,false,low,high,true,non-zero,zero,night
Nidoking ,2.230033051607709,B,false,low,low,true,non-zero,non-zero,night
Parasect ,0.5,C,false,low,low,true,non-zero,non-zero,day
Fearow ,1.7407346031339397,B,false,high,high,true,non-zero,non-zero,day
Paras ,1.2077296198266498,C,false,high,high,true,zero,non-zero,night
Rhyhorn ,3.71476385414606,S,false,high,low,true,zero,non-zero,night
Hitmonchan ,0.5,C,false,high,low,true,zero,non-zero,night
Venonat ,3.7185300923775593,S,true,high,high,true,non-zero,zero,night
Butterfree ,2.6889398003022653,A,true,high,high,true,non-zero,non-zero,day
Nidoqueen ,2.9634074020815313,A,false,high,low,true,non-zero,zero,day
Graveler ,4.5,S,false,high,high,true,zero,zero,day
Nidoran♀ ,1.6705924159785914,B,false,low,low,true,zero,non-zero,night
Seadra ,4.5,S,true,low,high,true,zero,zero,day
Gengar ,2.9215438032628422,A,false,high,low,true,zero,non-zero,day
Scyther ,2.4870954543392174,B,false,high,high,true,zero,non-zero,night
Diglett ,0.7543648005746082,C,false,low,high,False,non-zero,non-zero,day
Machamp ,1.8889997074942153,B,false,low,low,true,zero,non-zero,night
Nidorina ,3.319092720705647,A,false,high,high,true,zero,zero,day
Golbat ,3.3283757696509957,A,false,low,low,true,non-zero,non-zero,day
Kabuto ,4.5,S,false,low,low,true,zero,non-zero,day
Zubat ,1.9605813427454233,B,false,low,low,true,non-zero,non-zero,day
Dodrio ,2.6206766981172587,A,true,high,low,true,zero,zero,night
Haunter ,4.425113329517714,S,false,low,low,true,non-zero,zero,day
Weedle ,3.478100822525914,A,false,low,low,true,zero,non-zero,night
Dugtrio ,2.2872494369527434,B,false,high,low,true,zero,non-zero,day
Nidoran♀ ,3.4332815224818494,A,false,low,high,true,non-zero,zero,night
Zubat ,2.1779306045210243,B,true,high,low,true,non-zero,non-zero,day
Porygon ,3.3118843831361158,A,false,high,low,true,non-zero,non-zero,day
Pikachu ,2.9316221667460445,A,false,low,high,true,zero,non-zero,night
Tangela ,2.2595141589129,B,true,low,high,true,non-zero,non-zero,night
Exeggutor ,4.5,S,false,high,high,true,non-zero,zero,night
Rhydon ,4.406135574455528,S,true,high,low,true,zero,non-zero,night
Persian ,4.325935612054303,S,false,high,high,true,zero,non-zero,day
Mankey ,3.594789424625392,S,false,high,high,true,non-zero,non-zero,night
Flareon ,4.5,S,false,low,high,true,non-zero,non-zero,night
Krabby ,4.142752261825371,S,false,low,low,true,non-zero,non-zero,day
Arcanine ,3.9234704652218406,S,true,high,high,true,zero,zero,night
Gastly ,1.3410707385506369,C,false,low,low,true,zero,non-zero,day
Clefable ,4.168535019825574,S,false,low,high,true,zero,zero,day
Nidorina ,2.905744260592382,A,true,low,low,true,non-zero,zero,night
Dugtrio ,2.685104140170309,A,true,low,high,true,non-zero,non-zero,night
Nidoking ,3.773614781098894,S,true,low,low,true,non-zero,zero,day
Arcanine ,3.6836497292530077,S,true,low,high,true,non-zero,zero,day
Victreebel ,1.443103422347288,C,false,high,high,true,non-zero,non-zero,day
Kabutops ,4.074083899537719,S,true,low,high,true,non-zero,non-zero,day
Golbat ,3.0672029226248743,A,false,low,low,true,non-zero,non-zero,night
Charmeleon ,3.830169985974382,S,false,high,high,true,zero,non-zero,day
Pidgeot ,0.5,C,false,low,high,true,non-zero,non-zero,night
Omanyte ,4.5,S,false,high,low,true,zero,zero,day
Ninetales ,4.5,S,true,high,low,true,non-zero,non-zero,night
Machop ,3.739731839320518,S,true,low,low,true,non-zero,non-zero,night
Exeggutor ,3.4496795468048793,A,false,high,low,true,zero,zero,night
Nidorina ,2.9854507020059775,A,false,low,high,true,zero,non-zero,night
Zubat ,2.852167984588452,A,false,high,low,true,non-zero,zero,day
Scyther ,3.8654955345218873,S,false,low,low,true,non-zero,zero,night
Nidoqueen ,2.7360978721139553,A,false,low,high,true,zero,zero,night
Nidoran♂ ,1.9685606132424316,B,false,high,low,true,zero,non-zero,day
Starmie ,2.460246782811887,B,false,high,low,true,zero,non-zero,day
Dugtrio ,3.448645697969426,A,false,low,high,true,non-zero,zero,day
Squirtle ,3.5324287129054563,S,true,high,low,true,zero,non-zero,day
Cloyster ,3.6840366982267465,S,false,high,high,true,non-zero,zero,night
Electrode ,4.284175598070023,S,true,high,high,true,non-zero,zero,night
Eevee ,3.922616051638227,S,true,high,low,true,zero,non-zero,day
Onix ,2.9233481330368916,A,false,low,low,true,non-zero,zero,night
Machamp ,4.5,S,false,high,high,true,zero,non-zero,day
Electrode ,3.0720710011425467,A,true,high,low,true,non-zero,zero,night
Diglett ,2.6698024168958585,A,false,high,low,False,zero,zero,night
Seadra ,3.4011624500222197,A,false,low,low,true,non-zero,zero,night
Dodrio ,1.2856735599697537,C,false,high,high,true,zero,zero,night
Diglett ,4.5,S,false,low,low,False,non-zero,zero,night
Dugtrio ,3.049866650845879,A,false,low,low,true,zero,zero,night
Zapdos ,3.6320819986833373,S,false,low,high,true,non-zero,zero,night
Pidgeotto ,4.5,S,true,low,high,true,zero,zero,day
Geodude ,1.4662970962058588,C,false,low,low,true,non-zero,non-zero,night
Fearow ,2.5376810489784667,A,true,high,low,true,zero,zero,night
Zubat ,2.1088723586869094,B,false,low,low,true,zero,non-zero,night
Machamp ,4.158184524653547,S,true,low,high,true,zero,zero,day
Exeggcute ,2.772372110167135,A,false,high,high,true,non-zero,zero,night
Venusaur ,2.4848114883287495,B,true,low,high,true,non-zero,non-zero,night
Farfetch'd ,0.6891982092390299,C,false,low,low,true,zero,non-zero,night
Ponyta ,1.9932232145070843,B,true,low,low,true,non-zero,non-zero,day
Gastly ,1.2953656307413712,C,false,high,low,true,non-zero,non-zero,day
Haunter ,3.1193491411503933,A,false,high,high,true,non-zero,non-zero,day
Machoke ,4.5,S,true,high,high,true,non-zero,non-zero,day
Starmie ,3.690434085342198,S,false,high,high,true,zero,non-zero,day
Nidoran♀ ,1.6145143562844808,B,false,high,high,true,non-zero,non-zero,night
Ekans ,4.006758467654852,S,true,low,low,true,non-zero,non-zero,day
Meowth ,2.999654138657619,A,false,high,low,true,zero,non-zero,day
Electrode ,3.650985538002055,S,false,low,low,true,zero,zero,night
Metapod ,1.7465800723066827,B,false,low,low,true,zero,non-zero,night
Moltres ,4.5,S,true,low,low,true,zero,non-zero,night
Articuno ,3.7421144128490598,S,true,low,high,true,zero,non-zero,night
Hitmonlee ,2.1789682178978653,B,true,low,low,true,non-zero,non-zero,day
Voltorb ,3.1901446337260273,A,true,low,low,true,non-zero,non-zero,night
Arbok ,2.1426107555004186,B,true,low,high,true,non-zero,non-zero,night
Psyduck ,4.5,S,false,high,high,true,zero,non-zero,day
Ponyta ,3.2756100735223526,A,false,high,low,true,non-zero,zero,night
Dodrio ,2.562467205492626,A,true,low,high,true,zero,zero,night
Tauros ,2.9936192942082713,A,false,high,high,true,zero,non-zero,day
Clefairy ,3.506671059769532,S,true,high,high,true,non-zero,non-zero,day
Haunter ,2.645737474202371,A,true,low,low,true,non-zero,non-zero,day
Pidgey ,2.8596320712470367,A,false,low,low,true,non-zero,non-zero,night
Raichu ,2.4919820749989032,B,false,high,high,true,non-zero,non-zero,night
Jynx ,3.727402704418103,S,true,high,low,true,non-zero,non-zero,night
Caterpie ,1.8679800692247848,B,true,high,low,true,non-zero,non-zero,night
Haunter ,1.9347855726356087,B,false,low,high,true,non-zero,non-zero,day
Ditto ,3.039610107542627,A,true,low,high,true,zero,non-zero,night
Magmar ,3.4970522868467335,A,false,high,low,true,zero,non-zero,day
Raichu ,2.78964428052365,A,false,low,high,true,zero,zero,night
Gastly ,3.091484408927055,A,false,high,low,true,zero,non-zero,day
Flareon ,4.470814155733018,S,true,low,low,true,non-zero,zero,night
Graveler ,3.210371965897311,A,true,low,low,true,zero,zero,day
Dugtrio ,0.6319824649601511,C,false,high,high,true,non-zero,zero,night
Magmar ,3.9560937087620536,S,false,high,high,true,non-zero,non-zero,night
Dugtrio ,2.69560552465481,A,false,low,low,true,zero,zero,day
Golbat ,2.8837059701124286,A,false,high,high,true,non-zero,zero,night
Hypno ,2.253551199772078,B,true,high,high,true,non-zero,non-zero,night
Bulbasaur ,3.2492997337510388,A,false,low,low,true,zero,zero,day
Ekans ,2.0290483708670517,B,false,low,low,true,non-zero,non-zero,day
Doduo ,2.539044484034929,A,true,high,low,true,zero,zero,night
Golduck ,3.872288713482889,S,false,high,low,true,non-zero,non-zero,day
Nidorina ,2.126337132469776,B,false,low,low,true,zero,non-zero,night
Dragonair ,3.724164465339143,S,true,low,high,true,non-zero,non-zero,day
Gengar ,2.8178058528609338,A,false,low,high,true,zero,zero,day
Articuno ,4.5,S,false,high,low,true,non-zero,non-zero,night
Seadra ,4.5,S,false,high,low,true,zero,non-zero,night
Starmie ,2.91678454115282,A,false,low,high,true,zero,non-zero,day
Golduck ,4.5,S,true,high,low,true,non-zero,zero,night
Venonat ,1.732867921460342,B,true,low,high,true,non-zero,non-zero,night
Ponyta ,3.431092546183618,A,false,high,high,true,zero,zero,day
Tauros ,2.7018334760099796,A,false,high,high,true,zero,zero,day
Doduo ,3.3647517990066205,A,false,high,low,true,non-zero,non-zero,day
Mr. Mime ,4.017981405137543,S,false,low,high,true,zero,non-zero,day
Magneton ,3.677504600810946,S,false,high,low,true,zero,non-zero,day
Seadra ,3.570452355330507,S,true,low,low,true,non-zero,non-zero,day
Machamp ,3.731053727852218,S,true,low,high,true,non-zero,non-zero,day
Caterpie ,2.6499996805331314,A,false,high,high,true,zero,non-zero,night
Paras ,2.6439049702775805,A,false,high,low,true,non-zero,zero,day
Haunter ,2.896339816900703,A,false,low,high,true,non-zero,non-zero,day
Squirtle ,4.5,S,true,low,low,true,zero,zero,night
Muk ,1.6282759643090459,B,true,high,high,true,non-zero,non-zero,day
Venomoth ,2.817029137995694,A,false,low,low,true,non-zero,zero,night
Bellsprout ,1.5435088176456857,B,false,high,low,true,zero,non-zero,day
Muk ,2.6148334839617764,A,true,low,low,true,zero,non-zero,night
Muk ,4.172614763435616,S,false,low,high,true,non-zero,non-zero,night
Moltres ,3.353514131384952,A,false,low,high,true,non-zero,non-zero,night
Gastly ,3.4214501122291887,A,false,low,high,true,zero,zero,day
Spearow ,3.555450780479291,S,true,low,low,true,zero,non-zero,day
Poliwrath ,3.708468660964369,S,false,low,low,true,zero,zero,day
Kakuna ,2.429745091816153,B,false,low,low,true,non-zero,non-zero,night
Nidorino ,2.3323868245851305,B,false,low,high,true,zero,non-zero,day
Nidorino ,2.502802024694419,A,true,low,low,true,non-zero,non-zero,day
Haunter ,2.491917208415622,B,true,low,high,true,zero,non-zero,night
Articuno ,4.1493060012371465,S,true,high,low,true,zero,zero,day
Exeggutor ,2.670845998301923,A,true,high,high,true,zero,non-zero,day
Venusaur ,2.8836645672900936,A,true,low,high,true,non-zero,non-zero,day
Gengar ,2.4248572003575974,B,false,high,high,true,zero,non-zero,night
Primeape ,4.5,S,true,high,high,true,zero,non-zero,night
Kangaskhan ,3.8881212703669004,S,true,high,high,true,non-zero,non-zero,day
Charmeleon ,4.5,S,true,low,low,true,non-zero,non-zero,day
Fearow ,2.806469272873385,A,false,high,low,true,non-zero,non-zero,night
Tentacruel ,4.5,S,true,high,low,true,non-zero,non-zero,night
Jolteon ,3.156924145233613,A,false,low,low,true,zero,non-zero,day
Mankey ,2.8970396426808915,A,true,low,high,true,zero,non-zero,night
Machamp ,4.5,S,false,high,low,true,zero,zero,night
Kakuna ,3.4478776450868267,A,false,low,high,true,zero,zero,day
Gyarados ,4.22119631528156,S,false,low,high,true,zero,zero,night
Dugtrio ,1.8499510273136912,B,false,high,low,true,zero,non-zero,day
Rhyhorn ,3.513899723614289,S,false,high,high,true,zero,non-zero,night
Zapdos ,4.021594864516043,S,false,low,high,true,zero,non-zero,day
Mr. Mime ,3.2358754580223974,A,true,high,high,true,zero,zero,night
Onix ,3.484681052764139,A,true,high,low,true,zero,non-zero,day
Haunter ,3.0596876271816793,A,false,high,low,true,zero,non-zero,night
Charmander ,3.9559904098078413,S,true,high,high,true,non-zero,non-zero,day
Primeape ,3.5546820843859024,S,false,high,low,true,zero,non-zero,night
Blastoise ,4.5,S,false,low,low,true,non-zero,zero,day
Gengar ,3.1013030303931295,A,false,high,high,true,zero,non-zero,night
Kabutops ,4.079351483778611,S,true,low,high,true,zero,zero,day
Lickitung ,2.319566807568343,B,true,low,high,true,zero,non-zero,night
Tauros ,2.33366516143107,B,false,high,low,true,non-zero,non-zero,day
Parasect ,0.9993295693223185,C,false,high,low,true,non-zero,non-zero,night
Ekans ,2.143624698518839,B,true,low,high,true,non-zero,non-zero,day
Rapidash ,1.9282967782596807,B,false,low,low,true,zero,non-zero,day
Dugtrio ,1.9216231015899472,B,true,low,high,true,non-zero,non-zero,day
Zubat ,2.3195451290236795,B,false,high,high,true,non-zero,non-zero,day
Dugtrio ,2.1932809877161317,B,false,low,low,true,zero,non-zero,day
Ekans ,2.648250221055473,A,true,low,low,true,zero,non-zero,night
Dragonite ,4.5,S,true,high,low,true,zero,non-zero,day
Ponyta ,1.6635301598463146,B,true,high,high,true,non-zero,non-zero,day
Golbat ,3.4894616732174843,A,false,high,high,true,zero,zero,night
Omanyte ,4.34984173200207,S,true,low,low,true,non-zero,zero,day
Haunter ,2.2558284306004732,B,false,low,low,true,non-zero,non-zero,night
Paras ,1.5357826808541253,B,false,high,low,true,zero,non-zero,night
Raichu ,0.6319740050472213,C,false,high,low,true,zero,non-zero,night
Zubat ,1.6634951278264403,B,true,low,low,true,zero,non-zero,night
Pinsir ,2.6791493809499305,A,true,high,high,true,non-zero,zero,day
Pikachu ,1.9862262042278824,B,false,low,high,true,non-zero,non-zero,night
Kadabra ,4.108266534791215,S,true,low,high,true,non-zero,non-zero,night
Seaking ,3.8237595316682853,S,true,low,low,true,zero,non-zero,day
Ponyta ,2.43005117086045,B,false,low,high,true,zero,non-zero,night
Snorlax ,4.5,S,false,high,low,true,non-zero,zero,night
Exeggcute ,0.6508468090706598,C,false,high,high,true,non-zero,zero,night
Lapras ,3.9901673985528485,S,true,low,low,true,zero,non-zero,day
Electabuzz ,4.058957742276239,S,false,high,high,true,non-zero,zero,night
Charmeleon ,3.777891761514885,S,false,high,high,true,non-zero,non-zero,day
Clefairy ,4.5,S,true,high,high,true,non-zero,non-zero,day
Diglett ,4.111748393254833,S,false,high,high,False,zero,non-zero,night
Exeggutor ,3.066205577982039,A,false,low,low,true,non-zero,zero,day
Gastly ,3.2711727521986544,A,false,low,low,true,zero,non-zero,day
Flareon ,4.426661033689642,S,true,low,high,true,zero,zero,day
Spearow ,1.470732990593703,C,false,high,high,true,zero,non-zero,day
Seaking ,4.5,S,false,high,high,true,zero,zero,day
Tauros ,1.9286799074569851,B,false,low,high,true,non-zero,non-zero,night
Dodrio ,2.370925256814623,B,true,low,high,true,zero,non-zero,day
Gastly ,1.3447901119350976,C,false,high,low,true,non-zero,non-zero,night
Nidorino ,2.473789193555163,B,false,low,high,true,non-zero,non-zero,day
Nidoran♀ ,3.074761197743081,A,true,high,high,true,non-zero,non-zero,day
Mewtwo ,2.564380898146441,A,true,high,low,true,non-zero,zero,day
Doduo ,4.20885485996568,S,true,low,low,true,non-zero,zero,day
Charizard ,3.627539639775752,S,false,high,high,true,non-zero,zero,day
Vileplume ,1.6532624434026733,B,false,low,low,true,non-zero,non-zero,day
Machoke ,4.5,S,false,low,high,true,non-zero,zero,night
Nidoking ,3.250975483862263,A,true,high,high,true,non-zero,non-zero,night
Hitmonchan ,4.443663325184499,S,true,low,high,true,non-zero,non-zero,night
Growlithe ,3.696655699483247,S,false,high,high,true,zero,zero,day
Golbat ,3.2427121362054354,A,false,low,low,true,zero,zero,day
Clefable ,4.042244164155561,S,false,low,low,true,non-zero,non-zero,night
Jynx ,3.597976430489364,S,true,high,low,true,non-zero,non-zero,day
Lickitung ,2.9473083434929808,A,false,high,high,true,zero,zero,day
Growlithe ,2.6666125715716613,A,true,low,low,true,zero,non-zero,night
Rhydon ,2.2880160602303716,B,true,high,high,true,non-zero,non-zero,night
Diglett ,2.19458700009714,B,false,low,high,False,zero,non-zero,night
Fearow ,0.5,C,false,high,low,true,zero,non-zero,night
Krabby ,4.5,S,false,low,low,true,non-zero,non-zero,night
Caterpie ,2.1597893860834803,B,false,high,high,true,zero,non-zero,night
Hitmonlee ,1.7832548604125396,B,false,low,low,true,non-zero,zero,day
Nidoqueen ,1.1732917010537542,C,false,high,high,true,zero,non-zero,night
Gastly ,1.4082731167009783,C,false,high,low,true,zero,non-zero,night
Gastly ,1.9073277991104813,B,true,high,low,true,zero,non-zero,day
Farfetch'd ,3.8231957191183894,S,true,low,high,true,non-zero,zero,night
Gastly ,0.8897199821230926,C,false,high,high,true,non-zero,non-zero,day
Haunter ,2.6718962078019026,A,false,low,high,true,non-zero,non-zero,night
Spearow ,4.5,S,false,high,high,true,zero,zero,day
Zubat ,1.2228648077731659,C,false,low,high,true,non-zero,non-zero,night
Nidorina ,1.842488179501178,B,false,low,low,true,zero,non-zero,night
Poliwhirl ,2.6445150781627578,A,false,high,high,true,non-zero,zero,day
Gengar ,2.2296224846525616,B,true,high,high,true,zero,zero,day
Hitmonlee ,1.5168530374309281,B,true,high,high,true,non-zero,non-zero,day
Parasect ,2.431800519182783,B,false,low,low,true,non-zero,non-zero,night
Starmie ,3.7279397442338484,S,false,low,high,true,zero,zero,night
Mr. Mime ,3.4308435246495432,A,false,high,low,true,zero,zero,night
Ditto ,2.126806331015905,B,false,low,high,true,non-zero,non-zero,day
Onix ,3.171526977468086,A,true,low,low,true,zero,non-zero,night
Onix ,3.443435331328094,A,false,low,low,true,zero,non-zero,day
Seaking ,4.059171065056819,S,true,high,low,true,zero,non-zero,night
Psyduck ,3.725613467857154,S,true,high,low,true,non-zero,non-zero,night
Mankey ,4.5,S,false,high,low,true,non-zero,non-zero,night
Dragonair ,1.8053135691259141,B,true,high,high,true,zero,non-zero,night
Magmar ,2.4272812065786376,B,false,high,high,true,non-zero,non-zero,day
Onix ,1.6618777234806885,B,true,high,high,true,non-zero,zero,day
Shellder ,3.8972002864243622,S,true,high,high,true,non-zero,non-zero,night
Paras ,2.538850021683147,A,true,high,low,true,non-zero,non-zero,day
Butterfree ,1.9719060565173305,B,true,high,low,true,non-zero,non-zero,night
Omastar ,4.5,S,true,low,high,true,zero,non-zero,night
Nidoqueen ,3.6294117400723653,S,true,low,high,true,non-zero,non-zero,night
Lickitung ,2.8715603551715847,A,true,low,low,true,zero,non-zero,day
Weedle ,3.884902820576949,S,true,low,high,true,zero,zero,night
Exeggcute ,4.260693612307374,S,true,high,low,true,non-zero,non-zero,day
Onix ,3.1736024898169095,A,false,low,low,true,non-zero,non-zero,day
Psyduck ,4.5,S,true,low,high,true,non-zero,non-zero,night
Magnemite ,3.0580638443068318,A,true,low,high,true,zero,non-zero,night
Dragonite ,0.5,C,false,low,low,true,non-zero,non-zero,night
Blastoise ,4.015727808921934,S,false,high,low,true,zero,zero,night
Charmeleon ,2.600076342330479,A,false,low,high,true,non-zero,zero,day
Nidorina ,1.4543165485248892,C,false,low,low,true,zero,non-zero,day
Tauros ,3.734466237565374,S,true,low,low,true,non-zero,zero,night
Doduo ,2.2713127373745747,B,false,high,high,true,non-zero,non-zero,night
Moltres ,4.5,S,false,high,low,true,non-zero,zero,day
Exeggcute ,2.453768200743438,B,true,high,high,true,zero,non-zero,day
Raticate ,4.5,S,true,low,low,true,zero,non-zero,night
Venomoth ,2.848488098172329,A,false,low,low,true,zero,non-zero,night
Dragonair ,4.226924367285097,S,false,low,low,true,zero,zero,day
Aerodactyl ,4.212286354686747,S,true,high,high,true,zero,non-zero,night
Onix ,0.6435169258820541,C,false,high,high,true,zero,non-zero,night
Machamp ,4.5,S,false,high,high,true,non-zero,non-zero,night
Doduo ,4.5,S,true,high,low,true,non-zero,non-zero,night
Graveler ,4.392786929079737,S,false,low,high,true,zero,zero,day
Golbat ,2.1082877899305164,B,true,high,high,true,zero,non-zero,night
Golbat ,2.8974083187282464,A,false,low,low,true,non-zero,non-zero,day
Jynx ,3.5477639678864406,S,true,high,high,true,zero,zero,night
Nidoran♀ ,1.9041821871294926,B,true,high,low,true,non-zero,non-zero,day
Ditto ,2.503126285450714,A,false,high,low,true,non-zero,non-zero,night
Haunter ,1.367033857765288,C,false,high,high,true,non-zero,non-zero,day
Rhydon ,3.7473647137879147,S,true,low,low,true,non-zero,zero,night
Poliwrath ,2.7249595247987233,A,false,high,low,true,non-zero,non-zero,night
Machamp ,3.3130840130633925,A,true,low,low,true,zero,zero,night
